|name|alt_name|ra|dec|vmag|bv_color|helio_distance|metallicity|
|Pal 1    |           |03 33 20.04|+79 34 51.8|13.18|    0.96|          11.1|      -0.65|
|NGC 6229 |           |16 46 58.79|+47 31 39.9| 9.39|    0.70|          30.5|      -1.47|
|NGC 6341 |M 92       |17 17 07.39|+43 08 09.4| 6.44|    0.63|           8.3|      -2.31|
|NGC 2419 |           |07 38 08.47|+38 52 56.8|10.41|    0.66|          82.6|      -2.15|
|NGC 6205 |M 13       |16 41 41.24|+36 27 35.5| 5.78|    0.68|           7.1|      -1.53|
|Pal 2    |           |04 46 05.91|+31 22 53.4|13.04|    2.08|          27.2|      -1.42|
|NGC 6779 |M 56       |19 16 35.57|+30 11 00.5| 8.27|    0.86|           9.4|      -1.98|
|Pal 4    |           |11 29 16.80|+28 58 24.9|14.20|        |         108.7|      -1.41|
|NGC 5466 |           |14 05 27.29|+28 32 04.0| 9.04|    0.67|          16.0|      -1.98|
|NGC 5272 |M 3        |13 42 11.62|+28 22 38.2| 6.19|    0.69|          10.2|      -1.50|
|Ko 2     |           |07 58 17.00|+26 15 18.0|17.60|        |          34.7|           |
|NGC 6838 |M 71       |19 53 46.49|+18 46 45.1| 8.19|    1.09|           4.0|      -0.78|
|Pal 10   |           |19 18 02.10|+18 34 18.0|13.22|        |           5.9|      -0.10|
|NGC 4147 |           |12 10 06.30|+18 32 33.5|10.32|    0.59|          19.3|      -1.80|
|NGC 5024 |M 53       |13 12 55.25|+18 10 05.4| 7.61|    0.64|          17.9|      -2.10|
|NGC 5053 |           |13 16 27.09|+17 42 00.9| 9.47|    0.65|          17.4|      -2.27|
|NGC 7006 |           |21 01 29.38|+16 11 14.4|10.56|    0.75|          41.2|      -1.52|
|Pal 14   |AvdB       |16 11 00.60|+14 57 28.0|14.74|        |          76.5|      -1.62|
|Pal 13   |           |23 06 44.44|+12 46 19.2|13.47|    0.76|          26.0|      -1.88|
|Ko 1     |           |11 59 18.50|+12 15 36.0|17.10|        |          48.3|           |
|NGC 7078 |M 15       |21 29 58.33|+12 10 01.2| 6.20|    0.68|          10.4|      -2.37|
|NGC 6934 |           |20 34 11.37|+07 24 16.1| 8.83|    0.77|          15.6|      -1.47|
|NGC 6426 |           |17 44 54.65|+03 10 12.5|11.01|    1.02|          20.6|      -2.15|
|NGC 5904 |M 5        |15 18 33.22|+02 04 51.7| 5.65|    0.72|           7.5|      -1.29|
|NGC 6749 |           |19 05 15.30|+01 54 03.0|12.44|    2.14|           7.9|      -1.60|
|NGC 6760 |           |19 11 12.01|+01 01 49.7| 8.88|    1.66|           7.4|      -0.40|
|Pal 3    |           |10 05 31.90|+00 04 18.0|14.26|        |          92.5|      -1.63|
|Pal 5    |           |15 16 05.25|-00 06 41.8|11.75|        |          23.2|      -1.41|
|NGC 6535 |           |18 03 50.51|-00 17 51.5|10.47|    0.94|           6.8|      -1.79|
|Pal 15   |           |16 59 51.00|-00 32 20.0|14.00|        |          45.1|      -2.07|
|NGC 7089 |M 2        |21 33 27.02|-00 49 23.7| 6.47|    0.66|          11.5|      -1.65|
|GLIMPSE01|           |18 48 49.70|-01 29 50.0|22.24|        |           4.2|           |
|NGC 6218 |M 12       |16 47 14.18|-01 56 54.7| 6.70|    0.83|           4.8|      -1.37|
|NGC 6402 |M 14       |17 37 36.10|-03 14 45.3| 7.59|    1.25|           9.3|      -1.28|
|Whiting 1|           |02 02 57.00|-03 15 10.0|15.03|        |          30.1|      -0.70|
|NGC 6254 |M 10       |16 57 09.05|-04 06 01.1| 6.60|    0.90|           4.4|      -1.56|
|NGC 6366 |           |17 27 44.24|-05 04 47.5| 9.20|    1.44|           3.5|      -0.59|
|NGC 5634 |           |14 29 37.23|-05 58 35.1| 9.47|    0.67|          25.2|      -1.88|
|IC 1257  |           |17 27 08.50|-07 05 35.0|13.10|    1.38|          25.0|      -1.70|
|IC 1276  |Pal 7      |18 10 44.20|-07 12 27.4|10.34|    1.76|           5.4|      -0.75|
|NGC 6539 |           |18 04 49.68|-07 35 09.1| 9.33|    1.83|           7.8|      -0.63|
|Pal 11   |           |19 45 14.40|-08 00 26.0| 9.80|    1.27|          13.4|      -0.40|
|NGC 6712 |           |18 53 04.30|-08 42 22.0| 8.10|    1.17|           6.9|      -1.02|
|NGC 6517 |           |18 01 50.52|-08 57 31.6|10.23|    1.75|          10.6|      -1.23|
|NGC 6981 |M 72       |20 53 27.70|-12 32 14.3| 9.27|    0.72|          17.0|      -1.42|
|NGC 6171 |M 107      |16 32 31.86|-13 03 13.6| 7.93|    1.10|           6.4|      -1.02|
|NGC 7492 |           |23 08 26.63|-15 36 41.4|11.29|    0.42|          26.3|      -1.78|
|GLIMPSE02|           |18 18 30.50|-16 58 38.0|     |        |           5.5|      -0.33|
|NGC 6356 |           |17 23 34.93|-17 48 46.9| 8.25|    1.13|          15.1|      -0.40|
